Date,Open,High,Low,Close,Adj Close,Volume
2018-11-29,5834.470215,5903.779785,5834.169922,5850.549805,5850.549805,26085100
2018-11-30,5850.549805,5861.740234,5801.160156,5818.649902,5818.649902,55039300
2018-12-03,5818.649902,5914.390137,5818.649902,5847.620117,5847.620117,20281700
2018-12-04,5847.620117,5862.479980,5701.709961,5701.709961,5701.709961,22977100
2018-12-05,5701.709961,5726.379883,5641.290039,5669.089844,5669.089844,21530100
2018-12-06,5669.089844,5669.089844,5491.939941,5492.950195,5492.950195,24301600
2018-12-07,5492.950195,5615.589844,5492.950195,5548.810059,5548.810059,16967600
2018-12-10,5548.810059,5548.810059,5403.229980,5409.169922,5409.169922,16285000
2018-12-11,5409.169922,5510.649902,5409.169922,5491.939941,5491.939941,24373100
2018-12-12,5491.939941,5547.609863,5454.000000,5523.379883,5523.379883,28412900
2018-12-13,5523.379883,5590.959961,5515.410156,5536.330078,5536.330078,37946600
2018-12-14,5536.330078,5536.330078,5425.819824,5519.259766,5519.259766,14388400
2018-12-17,5519.259766,5519.259766,5451.430176,5470.720215,5470.720215,22665900
2018-12-18,5470.720215,5497.709961,5422.759766,5422.759766,5422.759766,20655700
2018-12-19,5422.759766,5457.049805,5417.069824,5443.790039,5443.790039,26386200
2018-12-20,5443.790039,5443.790039,5344.580078,5376.609863,5376.609863,42799900
2018-12-21,5376.609863,5412.600098,5342.600098,5391.419922,5391.419922,29679900
2018-12-24,5391.419922,5422.330078,5387.520020,5398.229980,5398.229980,2366700
2018-12-27,5398.229980,5449.640137,5311.729980,5325.990234,5325.990234,10063500
2018-12-28,5325.990234,5464.819824,5325.990234,5459.200195,5459.200195,16363900
2018-12-31,5459.200195,5479.810059,5444.609863,5479.810059,5479.810059,6429900
2019-01-02,5479.810059,5510.810059,5390.580078,5490.370117,5490.370117,14739700
2019-01-03,5489.629883,5523.990234,5456.220215,5481.160156,5481.160156,17143900
2019-01-04,5481.160156,5670.919922,5481.160156,5656.450195,5656.450195,17539100
2019-01-07,5656.450195,5692.160156,5607.970215,5651.160156,5651.160156,19777300
2019-01-08,5651.160156,5717.470215,5632.560059,5680.569824,5680.569824,18731800
2019-01-09,5680.569824,5751.100098,5680.569824,5734.830078,5734.830078,26009100
2019-01-10,5734.830078,5743.290039,5687.029785,5743.290039,5743.290039,17680200
2019-01-11,5743.290039,5745.290039,5690.839844,5699.450195,5699.450195,21863500
2019-01-14,5699.450195,5699.450195,5654.629883,5670.850098,5670.850098,17927800
2019-01-15,5670.850098,5707.549805,5611.720215,5640.399902,5640.399902,20740700
2019-01-16,5640.399902,5705.160156,5640.399902,5699.040039,5699.040039,25059900
2019-01-17,5699.040039,5714.430176,5661.660156,5705.299805,5705.299805,56795100
2019-01-18,5705.299805,5801.859863,5695.879883,5799.609863,5799.609863,37265100
2019-01-21,5799.609863,5819.250000,5773.279785,5792.129883,5792.129883,12455400
2019-01-22,5792.129883,5817.120117,5764.540039,5817.120117,5817.120117,18579200
2019-01-23,5817.120117,5905.390137,5801.529785,5828.379883,5828.379883,29671300
2019-01-24,5828.379883,5862.109863,5768.609863,5775.000000,5775.000000,35375400
2019-01-25,5775.000000,5871.950195,5775.000000,5849.560059,5849.560059,25242400
2019-01-28,5849.560059,5861.310059,5810.529785,5843.790039,5843.790039,15295800
2019-01-29,5843.790039,5879.310059,5819.410156,5848.879883,5848.879883,19267200
2019-01-30,5848.879883,5859.790039,5821.799805,5859.790039,5859.790039,21681800
2019-01-31,5859.689941,5882.140137,5751.370117,5767.680176,5767.680176,22057300
2019-02-01,5767.680176,5848.490234,5767.680176,5838.100098,5838.100098,33835600
2019-02-04,5838.100098,5844.310059,5809.850098,5831.049805,5831.049805,15837800
2019-02-05,5831.310059,5935.390137,5825.850098,5935.390137,5935.390137,40244300
2019-02-06,5935.390137,6019.819824,5930.850098,5970.049805,5970.049805,19000900
2019-02-07,5969.850098,5969.850098,5842.439941,5842.439941,5842.439941,21325500
2019-02-08,5842.669922,5874.649902,5826.229980,5832.589844,5832.589844,13388600
2019-02-11,5833.839844,5912.259766,5833.839844,5903.850098,5903.850098,11816900
2019-02-12,5909.390137,5947.240234,5906.290039,5919.750000,5919.750000,18279000
2019-02-13,5919.750000,6015.080078,5918.060059,5995.029785,5995.029785,19973900
2019-02-14,5995.390137,6043.100098,5943.200195,5949.750000,5949.750000,18421200
2019-02-15,5952.810059,5979.299805,5928.370117,5969.270020,5969.270020,17971000
2019-02-18,5969.270020,5993.250000,5959.700195,5976.910156,5976.910156,17308400
2019-02-19,5975.350098,6045.370117,5975.350098,5980.250000,5980.250000,28933200
2019-02-20,5979.089844,6070.279785,5976.970215,6058.399902,6058.399902,18055000
2019-02-21,6052.520020,6069.040039,6030.279785,6046.169922,6046.169922,29216400
2019-02-22,6042.689941,6077.549805,6024.140137,6034.419922,6034.419922,15220900
2019-02-25,6034.419922,6035.220215,5988.939941,6021.149902,6021.149902,13169100
2019-02-26,6019.709961,6072.450195,5981.189941,6063.229980,6063.229980,27950500
2019-02-27,6056.080078,6070.180176,6015.520020,6070.180176,6070.180176,40574900
2019-02-28,6068.209961,6117.299805,6030.700195,6115.600098,6115.600098,39922400
2019-03-01,6115.709961,6200.089844,6115.709961,6195.620117,6195.620117,36926300
